item	m_sg	m_pl	f_sg	f_pl	inVocabs
4654	megadentado			megadentadas	0
4655	geopaleontológico	geopaleontológicos			0
4656	francmasón				0
4657	volador	voladores			0
4658	antihigiénico				0
4659	embalsado				0
4660	colorado				0
4661	leer	leeres	leída	leídas	0
4662	contemporaneo				0
4663	biplano				0
4664	reaprovechado	reaprovechados			0
4665	cruel	crueles			0
4666	estremecedor				0
4667	anfibio	anfibios	anfibia	anfibias	0
4668	perteneciente				0
4669	gálactico	gálacticos	gálactica	gálacticas	0
4670	santificado	santificados	santificada	santificadas	0
4671	infinitivo	infinitivos	infinitiva	infinitivas	0
4672	aspirado	aspirados	aspirada	aspiradas	0
4673	ovado			ovadas	0
4674	brilloso			brillosas	0
4675	unversitario	unversitarios	unversitaria	unversitarias	0
4676	vegetal				0
4677	holoparásito			holoparásitas	0
4678	fotosintético	fotosintéticos	fotosintética	fotosintéticas	0
4679	superchulo	superchulos	superchula	superchulas	0
4680	erosivo			erosivas	0
4681	utópico				0
4682	cóncavo				0
4683	demostrar	demostrares	demostrada	demostradas	0
4684	gravoso	gravosos			0
4685	pucelano				0
4686	torrefacto				0
4687	1ro			1ras	0
4688	sedoso				0
4689	helenístico				0
4690	misnmo				0
4691	avaricioso	avariciosos			0
4692	alforzado	alforzados			0
4693	regio	regios	regia	regias	0
4694	óntico	ónticos	óntica	ónticas	0
4695	bioceánico				0
4696	andaluzo			andaluzas	0
4697	cerámico			cerámicas	0
4698	observatorio				0
4699	compaginado	compaginados	compaginada	compaginadas	0
4700	deposición			deposiciones	0
4701	vulcanológico	vulcanológicos			0
4702	funcionario				0
4703	enquistado				0
4704	boquiabierto			boquiabiertas	0
4705	pervertido				0
4706	camerístico			camerísticas	0
4707	gul	gules			0
4708	indígena				0
4709	funicular	funiculares			0
4710	sombrío	sombríos			0
4711	santiagueño				0
4712	supresoro	supresoros	supresora	supresoras	0
4713	terópodo				0
4714	ornitomimosauriano				0
4715	ornitisquio				0
4716	ornitópodo				0
4717	incoloro	incoloros			0
4718	expedicionario				0
4719	hebreo				0
4720	debut				0
4721	neerlandeso	neerlandesos	neerlandesa	neerlandesas	0
4722	bimotor				0
4723	hospedado				0
4724	rasurado	rasurados	rasurada	rasuradas	0
4725	comodisimo			comodisimas	0
4726	eminente				0
4727	saetero			saeteras	0
4728	san				0
4729	ad				0
4730	sulfuroso				0
4731	carnico	carnicos			0
4732	medico			medicas	0
4733	recitativo				0
4734	deseoso			deseosas	0
4735	inconcluso			inconclusas	0
4736	paleártico	paleárticos	paleártica	paleárticas	0
4737	fiscalizado	fiscalizados			0
4738	acreditativo				0
4739	internet	internet			0
4740	autoexigido				0
4741	filológico	filológicos	filológica	filológicas	0
4742	primarios	primarios			0
4743	subcargado	subcargados			0
4744	desaparecido				0
4745	potente	potentes	potente	potentes	0
4746	habilitado				0
4747	santafesino			santafesinas	0
4748	mamario			mamarias	0
4749	desconchado			desconchadas	0
4750	calido			calidas	0
4751	laureado				0
4752	meristemo	meristemas			0
4753	contagioso				0
4754	adinerado	adinerados			0
4755	derruido	derruidos			0
4756	conservado				0
4757	confluido			confluidas	0
4758	empleado				0
4759	canijo				0
4760	teológico	teológicos			0
4761	agarrado				0
4762	caudaloso	caudalosos			0
4763	antihorario				0
4764	violatorio				0
4765	cherry				0
4766	carnático	carnáticos	carnática	carnáticas	0
4767	mormón	mormones			0
4768	reptílico				0
4769	cimarrón				0
4770	pampeano				0
4771	confontado	confontados			0
4772	chulisimo				0
4773	octogésimo	octogésimos	octogésima	octogésimas	0
