idx	sing	plur	freq	inVocabs
_	blasts	blast	_	1
_	blazes	blaze	_	0
_	bleaches	bleach	_	0
_	bleeds	bleed	_	0
_	blends	blend	_	0
_	blesses	bless	_	0
_	blindfolds	blindfold	_	0
_	blinds	blind	_	0
_	blinks	blink	_	0
_	blisters	blister	_	0
_	bloats	bloat	_	0
_	blocks	block	_	1
_	bloodies	bloody	_	0
_	blooms	bloom	_	0
_	blossoms	blossom	_	0
_	blots	blot	_	0
_	blows	blow	_	1
_	blunders	blunder	_	0
_	blunts	blunt	_	0
_	blurs	blur	_	0
_	blurts	blurt	_	0
_	blushes	blush	_	0
_	boards	board	_	1
_	boasts	boast	_	0
_	bobs	bob	_	0
_	bodes	bode	_	0
_	bogs	bog	_	0
_	boils	boil	_	0
_	bolsters	bolster	_	0
_	bolts	bolt	_	1
_	bombards	bombard	_	0
_	bombs	bomb	_	1
_	bonds	bond	_	1
_	books	book	_	1
_	booms	boom	_	0
_	boosts	boost	_	0
_	boots	boot	_	1
_	borders	border	_	1
_	bores	bore	_	0
_	borrows	borrow	_	0
_	bothers	bother	_	0
_	bottles	bottle	_	1
_	bounces	bounce	_	0
_	bounds	bound	_	1
_	bowls	bowl	_	1
_	bows	bow	_	1
_	boxes	box	_	1
_	boycotts	boycott	_	0
_	braces	brace	_	0
_	brags	brag	_	0
_	braids	braid	_	0
_	brakes	brake	_	1
_	branches	branch	_	1
_	brands	brand	_	1
_	braves	brave	_	0
_	brazens	brazen	_	0
_	breaches	breach	_	0
_	breakfasts	breakfast	_	0
_	breaks	break	_	1
_	breathes	breathe	_	0
_	breeds	breed	_	1
_	brews	brew	_	0
_	bribes	bribe	_	1
_	bridges	bridge	_	1
_	briefs	brief	_	1
_	brightens	brighten	_	0
_	brings	bring	_	1
_	bristles	bristle	_	0
_	broaches	broach	_	0
_	broadcasts	broadcast	_	1
_	broadens	broaden	_	0
_	bronzes	bronze	_	0
_	broods	brood	_	0
_	browbeats	browbeat	_	0
_	bruises	bruise	_	0
_	brushes	brush	_	1
_	bubbles	bubble	_	1
_	buckles	buckle	_	0
_	bucks	buck	_	1
_	budges	budge	_	0
_	budgets	budget	_	1
_	buffers	buffer	_	0
_	buffets	buffet	_	0
_	bugs	bug	_	1
_	builds	build	_	1
_	bulges	bulge	_	0
_	bullies	bully	_	0
_	bumbles	bumble	_	0
_	bumps	bump	_	1
_	bunches	bunch	_	0
_	bundles	bundle	_	1
_	buoys	buoy	_	0
_	burdens	burden	_	0
_	burgles	burgle	_	0
_	buries	bury	_	0
_	burns	burn	_	1
_	burps	burp	_	0
_	burrows	burrow	_	0
_	bursts	burst	_	1
_	buses	bus	_	1
_	busies	busy	_	0
_	bustles	bustle	_	0
_	busts	bust	_	0
_	butchers	butcher	_	0
_	butters	butter	_	0
_	buttons	button	_	1
_	buttresses	buttress	_	0
_	butts	butt	_	0
_	buy-backs	buy-back	_	0
_	buys	buy	_	1
_	buzzes	buzz	_	0
_	bypasses	bypass	_	0
_	cackles	cackle	_	0
_	cages	cage	_	1
_	cajoles	cajole	_	0
_	cakes	cake	_	1
_	calculates	calculate	_	0
_	calibrates	calibrate	_	0
_	calls	call	_	1
_	calms	calm	_	0
_	camouflages	camouflage	_	0
_	campaigns	campaign	_	1
_	camps	camp	_	1
_	cancels	cancel	_	0
_	cans	can	_	1
_	canvasses	canvass	_	0
_	capitalizes	capitalize	_	0
_	capitulates	capitulate	_	0
_	caps	cap	_	1
_	capsizes	capsize	_	0
_	captains	captain	_	1
_	captivates	captivate	_	0
_	captures	capture	_	1
_	careens	careen	_	0
_	cares	care	_	1
_	caresses	caress	_	0
_	caricatures	caricature	_	0
_	carpets	carpet	_	0
_	carries	carry	_	1
_	carts	cart	_	1
_	carves	carve	_	0
_	cascades	cascade	_	0
_	cashes	cash	_	0
_	castigates	castigate	_	0
_	casts	cast	_	1
_	catalogs	catalog	_	0
_	catapults	catapult	_	0
_	catches	catch	_	1
_	categorizes	categorize	_	0
_	caters	cater	_	0
_	causes	cause	_	1
_	cautions	caution	_	0
_	caves	cave	_	1
_	ceases	cease	_	0
_	cedes	cede	_	0
_	celebrates	celebrate	_	1
_	cements	cement	_	0
_	censors	censor	_	0
_	censures	censure	_	0
_	centers	center	_	1
_	centralizes	centralize	_	0
_	certifies	certify	_	0
_	chains	chain	_	1
_	chairs	chair	_	1
_	challenges	challenge	_	1
_	champions	champion	_	1
_	chances	chance	_	1
_	changes	change	_	1
_	channels	channel	_	1
_	chants	chant	_	1
_	characterizes	characterize	_	0
_	charges	charge	_	1
_	charms	charm	_	1
_	chars	char	_	0
_	charters	charter	_	0
_	charts	chart	_	1
_	chases	chase	_	0
_	chastens	chasten	_	0
_	chats	chat	_	0
_	chatters	chatter	_	0
_	chauffeurs	chauffeur	_	0
_	cheats	cheat	_	0
_	checks	check	_	1
_	cheers	cheer	_	1
_	cherishes	cherish	_	0
_	chews	chew	_	0
_	chides	chide	_	0
_	chills	chill	_	0
_	chimes	chime	_	0
_	chips	chip	_	1
_	chirps	chirp	_	0
_	chisels	chisel	_	0
_	chokes	choke	_	0
_	chooses	choose	_	1
_	chops	chop	_	0
_	choreographs	choreograph	_	0
_	christens	christen	_	0
_	chronicles	chronicle	_	0
_	chuckles	chuckle	_	0
_	chucks	chuck	_	0
_	churns	churn	_	0
_	cinches	cinch	_	0
_	circles	circle	_	1
_	circulates	circulate	_	0
_	circumscribes	circumscribe	_	0
_	circumvents	circumvent	_	0
_	cites	cite	_	1
_	civilizes	civilize	_	0
_	claims	claim	_	1
_	clambers	clamber	_	0
_	clamps	clamp	_	0
_	claps	clap	_	0
_	clarifies	clarify	_	0
_	clashes	clash	_	1
_	clasps	clasp	_	0
_	classifies	classify	_	0
_	clatters	clatter	_	0
_	claws	claw	_	1
_	cleans	clean	_	0
_	cleanses	cleanse	_	0
_	clears	clear	_	1
_	clenches	clench	_	0
_	clicks	click	_	1
_	climbs	climb	_	1
_	clinches	clinch	_	0
_	clings	cling	_	0
_	clips	clip	_	1
_	cloaks	cloak	_	0
_	clobbers	clobber	_	0
_	clocks	clock	_	1
_	clogs	clog	_	0
_	clones	clone	_	1
_	closes	close	_	1
_	cloths	cloth	_	0
_	clouds	cloud	_	1
_	clubs	club	_	1
_	clusters	cluster	_	1
_	clutches	clutch	_	0
_	clutters	clutter	_	0
_	co-exists	co-exist	_	0
_	co-hosts	co-host	_	0
_	co-produces	co-produce	_	0
_	co-sponsors	co-sponsor	_	0
_	coaches	coach	_	1
_	coats	coat	_	1
_	coaxes	coax	_	0
_	cobbles	cobble	_	0
_	cocks	cock	_	0
_	codes	code	_	1
_	codifies	codify	_	0
